<built-in function id>,V mag,Proper Name,Bayer designation,Distance(ly),Spectral class,Mass,Radius,Luminosity
0,,,,,,,,
1,0.000,Sun,,,"G2
","1
","1
","1
"
2,0.001,Sirius,,000,"A1
","2.1
","1.71
","25.4
"
3,0.003,Canopus,,0,"A9
","15
","71
","13,500
"
4,0.004,Alpha Centauri,α Cen,000,"G2
","1.1
","1.2
","2
"
5,0.005,Arcturus,,00,"K2
","1.1
","26
","170
"
6,,Vega,,00,"A0
","2.2
","2.7
","50
"
7,,Capella,,00,"G8
","2.6
","12
","150
"
8,,Rigel,,0,"B8
","23
","78.9
","120,000
"
9,,Procyon,,00,"F5
","1.5
","1.9
","7.7
"
10,,Betelgeuse,,0,"M2
","20
","950
","60,000
"
11,,Achernar,,0,"B3
","6.7
","9.3
","3,000
"
12,,Hadar,β Cen,0,"B1
","10.5
","8.6
","42,000
"
13,,Altair,,00,"A7
","1.8
","1.8
","10.5
"
14,,Acrux,α Cru,0,"B0.5
","18
","8.9
","25,000
"
15,,Aldebaran,,00,"K5
","1.5
","44
","520
"
16,,Antares,,0,"M1.5
","12
","680
","75,000
"
17,,Spica,,0,"B1
","11.43
","7.47
","20,512
"
18,,Pollux,,00,"K0
","1.9
","8.8
","43
"
19,,Fomalhaut,,00,"A3
","1.9
","1.8
","16.6
"
20,,Deneb,,,"A2
","19
","203
","200,000
"
21,,Mimosa,,0,"B0.5
","16
","8.4
","34,000
"
22,,Regulus,,00,"B7
","3.8
","3.1
","290
"
23,,Adhara,ε CMa,0,"B2
","12.5
","14
","39,000
"
24,,Shaula,λ Sco,0,"B2
","14.5
","8.8
","36,000
"
25,,Castor,,00,"A1
","2.8
","2.4
","30
"
26,,Gacrux,γ Cru,00,"M3.5
","1.5
","84
","820
"
27,,Bellatrix,γ Ori,0,"B2
","8.6
","5.8
","9,200
"
28,,Elnath,β Tau,0,"B7
","5.0
","4.2
","700
"
29,,Miaplacidus,β Car,0,"A1
","3.5
","6.8
","290
"
30,,Alnilam,,,"B0
","32
","42
","380,000
"
31,,Gamma Velorum,γ,0,"WC8
","9.0
","6
","170,000
"
32,,Alnair,α Gru,0,"B7
","4.0
","3.4
","260
"
33,,Alioth,ε UMa,00,"A1
","2.9
","4.2
","110
"
34,,Alnitak,,0,"O9.7
","33
","20
","120,000
"
35,,Dubhe,α UMa,0,"G9
","4.25
","30
","300
"
36,,Mirfak,α Per,0,"F5
","8.5
","68
","5,000
"
37,,Wezen,δ CMa,,"F8
","17
","200
","82,000
"
38,,Sargas,θ Sco,0,"F0
","5.7
","26
","1,800
"
39,,Kaus Australis,ε Sgr,0,"B9.5
","3.5
","6.8
","360
"
40,,Avior,ε Car,0,"K3
","9.0
","130
","60,000
"
41,,Alkaid,η UMa,0,"B3
","6.1
","3.4
","1,350
"
42,,Menkalinan,β Aur,0,"A1
","2.39
","2.77
","50
"
43,,,α TrA,0,"K2
","7
","92
","5,500
"
44,,Alhena,γ Gem,0,"A1.5
","2.8
","3.3
","120
"
45,,,α Pav,0,"B3
","5.9
","4.8
","2,200
"
46,,[2],δ Vel,00,"A1
","2.4
","2.9
","90
"
47,,Mirzam,β CMa,0,"B1
","13.5
","10
","27,000
"
48,,Polaris,,0,"F8
","5.4
","39
","2,500
"
49,,Alphard,,0,"K3
","3.0
","50
","780
"
50,,Mintaka,,0,"O9.5
","24
","16.5
","190,000
"
51,,Scheat,β Peg,0,"M2.5
","2.1
","95
","1,500
"
52,,Almaaz,ε Aur,0,"F0
","15
","140
","43,000
"
53,,Rasalgethi,α Her,0,"M5
","2.8
","280
","8,300
"
54,,Tau Ceti,,0,"G8
","0.783
","0.893
","0.52
"
55,,Delta Pavonis,,0,"G8
","0.991
","1.22
","1.22
"
56,,Ran,,0,"K2
","0.82
","0.74
","0.34
"
57,,V382 Carinae,,0,"G2
","20
","485
","212,000
"
58,,Eta Carinae,,0,"O
","100
","60–881
","5,000,000
"
59,,Delta Cephei,,0,"F5
","4.5
","44.5
","2,000
"
60,,Mu Cephei,,0,"M2
","19.2
","972
","135,000
"
61,,Titawin,,0,"F8
","1.27
","1.48
","3.57
"
62,,Rho Cassiopeiae,,0,"G2
","22
","636-981
","347,000 - 530,000
"
63,,P Cygni,,0,"B1
","30
","76
","610,000
"
64,,La Superba,,0,"C5
","
","129 - 342
","2,472 - 5,800
"
65,,VV Cephei,,0,"M2
","18.2
","516 - 1,050
","200,000
"
66,,61 Cygni,,0,"K5
","0.7
","0.665
","0.153
"
67,,R Doradus,,0,"M8
","0.7 - 1.0
","298
","4,350
"
68,,Polaris Australis,,0,"F0
","1.59
","3.74
","38
"
69,,R Coronae Borealis,,0,"G0
","0.85
","85
","10,000
"
70,,54 Piscium,,0,"K0
","0.76
","0.94
","0.52
"
71,,Mira,ο Ceti,0,"M7
","1.2
","370
","9,000
"
72,,RW Cephei,,0,"K2
","13.9
","1,158
","417,000
"
73,,Lacaille 8760,,0,"M0
","0.6
","0.51
","0.072
"
74,,V838 Monocerotis,,0,"M6
","?
","380 - 750
","15,000
"
75,,HD 140283,,0,"F?
","?
","1.4
","3.83
"
76,,II Pegasi,,0,"K2
","0.8
","3.4
","1.06
"
77,,VY Canis Majoris,,0,"M5
","17
","1,420
","178,000 - 270,000
"
78,,Pistol Star,,0,"B3
","100
","320
","1,700,000
"
79,,S Doradus,,0,"B8
","24
","380
","910,000
"
80,,UY Scuti,,0,"M4
","7–10
","755
","86,300 - 87,100
"
81,,Barnard's Star,,0,"M4
","0.14
","0.20
","0.0035
"
82,,Luhman 16,,0,"L7
","0.04
","?
","?
"
83,,Proxima Centauri,,0,"M6
","0.12
","0.15
","0.0017
"
84,,KIC 8462852,,0,"F3
","1.43
","1.58
","4.68
"
85,,R136a1,,0,"WN5
","290
","32
","8,710,000
"
86,,Melnick 42,,0,"O2
","189
","21.1
","3,600,000
"
87,,WR 102,,0,"WO2
","19
","0.39
","282,000
"
88,,VFTS 352,,0,"O5
","57.48
","14.47
","330,000
"
89,,YBP 1194,,0,"G5
","1.01
","0.99
","0.98
"
90,,Gliese 1214,,0,"M4.5
","0.16
","0.21
","0.0033
"
91,,NML Cygni,,0,"M6
","50
","1,640 - 2,770
","229,000
"
92,,VB 10,,0,"M8
","0.075
","0.10
","0.0004
"
93,,WOH G64,,0,"M5
","<20
","1,540 - 1,730
","340-589,000
"
94,,TRAPPIST-1,,0,"M8
","0.089
","0.12
","0.0005
"
95,,2MASS J0523-1403,,0,"L2.5
","0.07
","0.086
","0.00013
"
96,,WISE 0855−0714,,0,"Y2
","0.003
","?
","?
"
97,,Icarus,,0,"B?
","33
","?
","850,000
"
